타아,61,147
다가,64,181
카하,52,172
나나,53,178
라나,73,170
차하,90,183
하바,90,189
차나,68,184
나카,77,177
하나,42,167
바라,45,153
차차,95,142
아다,69,187
바파,87,149
카하,72,164
아자,56,156
하타,67,168
카라,97,151
다하,54,195
가사,61,140
카바,79,144
하자,83,158
나사,99,147
바나,74,194
타하,44,141
바아,68,142
가자,82,190
사타,68,171
마마,80,199
하자,49,147
아바,88,145
가나,64,166
아사,91,183
바타,90,175
라타,96,141
하타,50,186
사아,69,185
사하,51,147
하다,66,199
아다,44,174
하사,57,178
라하,99,194
파타,57,190
타카,55,185
라마,64,150
아나,84,180
아하,69,150
라다,80,143
하하,67,161
카파,79,176
파나,59,195
다나,45,172
차바,94,189
다다,63,169
파하,49,164
차나,49,174
마하,91,158
나라,78,142
차라,52,193
바자,88,199
나가,94,164
마파,81,197
가사,96,169
카다,74,177
자카,97,189
나아,80,184
차나,54,199
차다,99,180
파아,98,198
마라,74,168
바마,57,155
다하,67,167
나타,40,180
나자,75,161
차타,86,142
라차,89,147
차자,90,192
타마,86,167
타아,65,196
카라,52,142
가카,68,167
다나,84,180
바사,88,169
차마,86,146
가마,44,193
다마,95,182
자하,43,181
다자,82,168
파차,60,158
하다,97,146
자가,94,158
아카,96,143
나마,53,166
카마,53,189
나가,78,162
라타,79,162
사하,66,174
가타,85,180
차라,45,190
마바,97,143
